Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C02-WA","[C02-WA] Carousel - هل منتجاتك سهلة الحمل؟ التفصيل هذا يصنع الفرق!","Carousel","هل منتجاتك سهلة الحمل؟ التفصيل هذا يصنع الفرق!","Slide 1: **ابتكار يسهّل حياة زبونك... ويخلي منتجك مميز.**
اكتشف المقبض اللاصق من IPAC.
Slide 2: **راحة الزبون أولويتنا.**
صورة تظهر المقبض اللاصق وهو يُستخدم لحمل عبوات ثقيلة بسهولة ويسر.
Slide 3: **قيمة مضافة حقيقية.**
تجربة حمل مريحة تعكس جودة منتجك واهتمامك بالتفاصيل.
Slide 4: **ميزة تنافسية فورية.**
خلّي منتجك يبرز في الرفوف... وفي يدي الزبون.","عنوان: **هل تبحث عن حلول تجعل منتجاتك أسهل في الحمل والاستخدام؟**

الجسم:
الابتكار لا يعني دائماً تعقيد الأمور. أحياناً، الحل الأذكى هو الأبسط.

تعرف على المقبض اللاصق من IPAC وكيف يمكن لهذه الإضافة البسيطة أن تحسن تجربة عميلك بشكل كبير وتمنحك ميزة تنافسية قوية في السوق.

الدعوة للعمل (CTA):
ابتكر تجربة فريدة لزبائنك. تواصل معنا في جناح D38 بمعرض Agropack Expo (2-5 فبراير 2026، SAFEX) لمشاهدة الحل مباشرة.

الوسوم:
#IPAC #حلول_مبتكرة #تجربة_العميل #صناعة_جزائرية #AgropackExpo2026 #ابتكار","**التوجيه العام:** تصميم يركز على المنتج (Product Feature Highlight) مع صور عالية الجودة.

- **Slide 1:** لقطة مقربة وأنيقة للمقبض اللاصق بحد ذاته، مع إضاءة تبرز جودته.
- **Slide 2:** صورة لعميل في متجر وهو يحمل بسهولة مجموعة من قوارير الماء أو المشروبات باستخدام المقبض اللاصق.
- **Slide 3:** تصميم إنفوجرافيك بسيط يربط بين أيقونة ""المقبض"" وأيقونة ""وجه مبتسم"" مع عبارة ""تجربة إيجابية"".
- **Slide 4:** صورة مقارنة بين منتج يستخدم المقبض اللاصق ومنتج آخر بدونه، لإظهار سهولة الحمل كعامل تفضيلي.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - تبحث عن شريك موثوق؟ 40 سنة من الريادة تجيب على سؤا","Carousel","تبحث عن شريك موثوق؟ 40 سنة من الريادة تجيب على سؤالك.","Slide 1: **40 عاماً من الريادة.**
رحلة IPAC في صناعة الشريط اللاصق بالجزائر.
Slide 2: **1984: الانطلاقة.**
تأسيس IPAC برؤية واضحة: تقديم الجودة والحلول للصناعة الجزائرية.
Slide 3: **عقود من الابتكار.**
من الأشرطة التقليدية إلى الحلول التقنية والمطبوعة والمبتكرة... التطور هو سر ريادتنا.
Slide 4: **شركاء النجاح.**
شهادات وثقة أكبر العلامات التجارية في الجزائر هي أكبر دليل على جودتنا.
Slide 5: **المستقبل يبدأ اليوم.**
التزامنا مستمر بتقديم الأفضل، وبناء شراكات أقوى للمستقبل.","عنوان: **هل يمكن أن تجد شريكاً أكثر موثوقية من 40 عاماً من الخبرة؟**

الجسم:
منذ عام 1984، وIPAC هي مرادف للجودة والابتكار في عالم الأشرطة اللاصقة في الجزائر. هذه ليست مجرد سنوات، بل هي محطات من النجاح والثقة بنيناها مع شركائنا.

اكتشف أبرز محطات رحلتنا في هذا الكاروسال.

الدعوة للعمل (CTA):
تعرف على تاريخنا وريادتنا. زورونا في جناحنا D38 بمعرض Agropack Expo لنبني المستقبل معاً.

الوسوم:
#تاريخ_IPAC #صنع_في_الجزائر #ريادة #جودة #خبرة_40_سنة #AgropackExpo","**التوجيه العام:** تصميم كاروسال على شكل خط زمني (Timeline) أنيق.

- **Slide 1:** صورة رمزية قوية أو شعار احتفالي بمرور 40 عاماً.
- **Slide 2:** استخدام صورة أرشيفية أو تصميم يعكس حقبة الثمانينات. التاريخ ""1984"" يكون بارزاً.
- **Slide 3:** تصميم يوضح التطور، ربما من خلال أيقونات تتغير من بسيطة إلى متطورة.
- **Slide 4:** عرض شعارات بعض الشركاء (بعد الحصول على إذن) أو اقتباسات من شهادات العملاء بشكل أنيق.
- **Slide 5:** صورة حديثة وذات رؤية مستقبلية لفريق العمل أو المصنع. النص يكون ملهماً ويدعو للثقة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C04-WA","[C04-WA] Carousel - كل ما تحتاج تعرفه عن زيارتك لأهم حدث صناعي هذي الس","Carousel","كل ما تحتاج تعرفه عن زيارتك لأهم حدث صناعي هذي السنة!","Slide 1: **IPAC في Agropack Expo 2026: واش يستنى فيك؟**
موعدك مع الابتكار والخبرة في صناعة الأشرطة اللاصقة.
Slide 2: **الزمان والمكان:**
🗓️ من 2 إلى 5 فبراير 2026
📍 قصر المعارض، SAFEX، الجزائر العاصمة
📌 جناح رقم D38
Slide 3: **واش راح تكتشف في جناحنا؟**
- حلول مبتكرة للشريط المطبوع والتقني.
- استشارات مجانية من خبرائنا.
- عروض حصرية خاصة بزوار المعرض.
Slide 4: **علاش لازم تزورنا؟**
لأنها فرصتك باش تحول الشريط اللاصق من تحدي... إلى أقوى حليف لعلامتك التجارية وإنتاجك!","عنوان: **هل جهزت زيارتك لأكبر حدث في قطاع الأغذية والحلول الصناعية؟**

الجسم:
معرض Agropack Expo على الأبواب، وجناح IPAC هو وجهتك الأولى لاكتشاف أحدث ما توصلت إليه تكنولوجيا الأشرطة اللاصقة.

في هذا الكاروسال، تجد كل المعلومات التي تحتاجها لتخطيط زيارتك بنجاح. لا تضيع الفرصة!

الدعوة للعمل (CTA):
خطط لزيارتك الآن! موقعنا في جناح D38 بمعرض Agropack Expo (2-5 فبراير 2026، SAFEX). نحن في انتظارك!

الوسوم:
#Agropack #معرض_صناعي #IPAC_DZ #الجزائر #تكنولوجيا_صناعية #شبكة_أعمال","**التوجيه العام:** تصميم إعلامي واضح ومباشر، يسهل قراءته وحفظ المعلومات.

- **Slide 1:** استخدام صورة ترويجية للمعرض مع دمج شعار IPAC بشكل بارز.
- **Slide 2:** تصميم على شكل بطاقة دعوة، مع أيقونات واضحة للتاريخ (تقويم)، المكان (خريطة)، ورقم الجناح (دبوس تحديد الموقع).
- **Slide 3:** استخدام أيقونات لكل فائدة (مصباح للابتكار، شخص يتحدث للاستشارات، علامة تخفيض للعروض) لتسهيل القراءة.
- **Slide 4:** صورة جذابة لفريق IPAC وهو يستقبل الزوار في الجناح، مع رسالة تحفيزية قوية.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C05-WA","[C05-WA] Carousel - الشريط اللاصق تاعك... فرصة ضايعة ولا وجه لماركتك؟","Carousel","الشريط اللاصق تاعك... فرصة ضايعة ولا وجه لماركتك؟","Slide 1: شريطك اللاصق... فرصة تسويقية ضايعة ولا أداة لبناء علامتك؟
Slide 2: **المشكل الأول: منتج مجهول.**
شريط لاصق عادي يخلي منتجك يضيع وسط المنافسين ويتنسى في الرفوف.
Slide 3: **المشكل الثاني: خسارة مالية.**
شريط لاصق ضعيف يعني توقف خط الإنتاج، وهذا يطيحلك قيمتك ويخسرلك دراهمك.
Slide 4: **الحل مع IPAC:**
40 عام خبرة في صناعة أشرطة لاصقة تضمنلك الكفاءة في الإنتاج والتميّز في السوق.
Slide 5: **شوف الفرق بعينك!**
زورونا في جناح D38 بمعرض Agropack Expo (2-5 فبراير 2026) واكتشف الحلول اللي تخلي شريطك اللاصق يخدم علامتك.","عنوان: **هل تعلم أن شريطك اللاصق يقدر يكون سبب خسارتك؟**

الجسم:
كل يوم، الشريط اللاصق العادي يضيع عليك فرصة باش تبني علامتك التجارية ويزيد من خطر توقف إنتاجك.

في هذا الكاروسال، نكشفلك كيفاش المشكلة الصغيرة هذي تكلفك أكثر مما تتخيل، وكيفاش خبرة 40 سنة من IPAC تقدر تحولها لأكبر ميزة تنافسية ليك.

الدعوة للعمل (CTA):
اقلب السلايدات واكتشف الحل! زورونا في Agropack Expo باش تشوف كيفاش IPAC تحول شريطك اللاصق لأداة تسويق فعالة!

الوسوم:
#IPAC #شريط_لاصق_مطبوع #الكفاءة_التشغيلية #صناعة_في_الجزائر #AgropackExpo2026 #حلول_صناعية","**التوجيه العام:** تصميم إنفوجرافيك نظيف واحترافي بألوان هوية IPAC.

- **Slide 1:** خلفية تعرض صورة مقسومة: نصف يظهر شريط لاصق عادي على صندوق باهت، والنصف الآخر يظهر شريط IPAC المطبوع على صندوق جذاب. العنوان بخط عريض وواضح.
- **Slide 2:** أيقونة كبيرة لـ ""علامة استفهام"" أو ""صندوق ضائع"". استخدام خلفية داكنة لإظهار المشكلة. النص يكون قصيراً ومباشراً.
- **Slide 3:** أيقونة ""ساعة تتوقف"" أو ""عملات نقدية تتساقط"". استخدام اللون الأحمر للتنبيه للخطر أو الخسارة.
- **Slide 4:** صورة عالية الجودة لمصنع IPAC أو منتجاتها. استخدام أيقونة ""درع"" أو ""شهادة جودة"" بجانب عبارة ""40 عام خبرة"".
- **Slide 5:** صورة جذابة للجناح في المعرض (تصميم 3D) مع كل تفاصيل الدعوة (المكان، الزمان، رقم الجناح) مكتوبة بشكل منظم وواضح. إضافة شعار Agropack Expo.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - كيفاش تخلي ماركتك توصل وين يوصل منتجك؟ السر في الش","Carousel","كيفاش تخلي ماركتك توصل وين يوصل منتجك؟ السر في الشريط.","Slide 1: **علامتك التجارية... وين ما تروح منتجاتك.**
حوّل كل شحنة إلى رسالة تسويقية قوية.
Slide 2: **الوجه الأول لماركتك.**
شريطك اللاصق المطبوع هو أول ما يراه عميلك. اجعله انطباعاً لا يُنسى.
Slide 3: **رسالتك توصل مع كل توصيلة.**
من المصنع إلى المستهلك، علامتك التجارية تبقى حاضرة في كل خطوة.
Slide 4: **الزبون يتفكرك من أول نظرة.**
شريط لاصق احترافي ومميز يبني الثقة ويجعل علامتك محفورة في ذهن العميل.","عنوان: **80% من العملاء يفضلون المنتجات اللي تبان احترافية!**

الجسم:
الانطباع الأول يدوم. وشريطك اللاصق هو أول انطباع تتركه عند عميلك. هل هو انطباع قوي أم باهت؟

اكتشف خطوة بخطوة كيف يعزز الشريط اللاصق المطبوع من IPAC علامتك التجارية في كل مرحلة من رحلة منتجك.

الدعوة للعمل (CTA):
صمم شريطك اللاصق الخاص اليوم مع IPAC! زورونا في جناح D38 بمعرض Agropack Expo (2-5 فبراير 2026، SAFEX) وشوف النماذج بنفسك.

الوسوم:
#تجربة_العميل #IPAC_Branding #ولاء_العملاء #صناعة_الجزائر #AgropackExpo #شريط_لاصق_مميز","**التوجيه العام:** تصميم يروي قصة بصرية (Visual Storytelling) باستخدام صور حقيقية وعالية الجودة.

- **Slide 1:** صورة واسعة لمستودع أو شاحنة توصيل مليئة بالصناديق التي تحمل كلها نفس الشريط اللاصق المطبوع بشكل واضح.
- **Slide 2:** لقطة مقربة جداً ليد عميل وهو يستلم صندوقاً، مع التركيز على الشريط اللاصق المطبوع الذي يظهر عليه الشعار بوضوح.
- **Slide 3:** تصميم إنفوجرافيك بسيط يوضح مسار الصندوق من المصنع إلى العميل، مع إبراز الشعار على الشريط في كل مرحلة.
- **Slide 4:** صورة لعميل سعيد وهو يفتح الصندوق، مع تعابير وجه توحي بالرضا والثقة. التركيز على تجربة العميل الإيجابية.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C07-WA","[C07-WA] Carousel - كل ساعة يتوقف فيها خط إنتاجك... شحال تكلفك؟","Carousel","كل ساعة يتوقف فيها خط إنتاجك... شحال تكلفك؟","Slide 1: **وقتك أغلى من أن تخسره!**
هل الشريط اللاصق اللي تستعملو اليوم... راهو يهدرلك في وقتك ودراهمك؟
Slide 2: **المشكلة: توقف الآلات.**
شريط لاصق رديء = آلات متوقفة، عمال ينتظرون، وخسائر لا تنتهي.
Slide 3: **حل IPAC التقني:**
أشرطة تقنية مصممة خصيصاً لتحمل أصعب ظروف التشغيل والسرعات العالية.
Slide 4: **النتيجة: راحة البال.**
إنتاجية أعلى، مشاكل أقل، وتركيز أكبر على نمو أعمالك.","عنوان: **كم تكلفك ساعة واحدة من توقف الإنتاج؟**

الجسم:
التكلفة تتجاوز مجرد الأرقام. إنها تؤثر على مواعيد التسليم، سمعة علامتك، ومعنويات فريقك.

اكتشف في هذا الكاروسال كيف تضمن الأشرطة التقنية من IPAC سلاسة عملياتك الصناعية وتحول الخسائر المحتملة إلى أرباح مؤكدة.

الدعوة للعمل (CTA):
حسّن كفاءتك اليوم مع IPAC! اطلب عينة مجانية من أشرطتنا التقنية الآن.

الوسوم:
#صناعة #انتاج #IPAC_Algerie #جودة #كفاءة #حلول_تقنية","**التوجيه العام:** تصميم يركز على مقارنة بصرية واضحة بين المشكلة والحل.

- **Slide 1:** صورة ساعة رملية أو عداد نقود سريع. العنوان بخط كبير ومثير للتفكير.
- **Slide 2:** صورة لخط إنتاج متوقف مع عمال محبطين. استخدام فلاتر ألوان باهتة أو داكنة للتعبير عن المشكلة.
- **Slide 3:** صورة مشرقة وواضحة لآلة تغليف تعمل بسلاسة تامة مع التركيز على شريط IPAC التقني. يمكن إضافة أيقونات للجودة والصلابة.
- **Slide 4:** صورة لمدير مصنع يبتسم بثقة وهو ينظر إلى خط الإنتاج الفعال. استخدام ألوان زاهية ودافئة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P08-WA","[P08-WA] Image - كي تسهّل على زبونك... راح يتفكرك ديما.","Image","كي تسهّل على زبونك... راح يتفكرك ديما.","**النص على التصميم:**
العنوان الرئيسي: **التفاصيل تصنع الولاء.**
النص الفرعي: حلولنا المبتكرة، مثل المقبض اللاصق، تحول تجربة الشراء العادية إلى انطباع إيجابي لا يُنسى.","عنوان: **أسهل طريقة لكسب ولاء عميلك.**

الجسم:
الولاء لا يُبنى فقط على جودة المنتج، بل على التجربة الكاملة التي تقدمها. لمسة صغيرة من الراحة والابتكار يمكن أن تكون السبب في عودة عميلك مرة أخرى.

الدعوة للعمل (CTA):
اكتشف حلولنا المبتكرة التي صُممت خصيصاً لتقديم تجربة عملاء لا تُنسى! تواصل معنا اليوم.

الوسوم:
#ولاء_العميل #ابتكار_IPAC #تجربة_مميزة #صناعة #جودة #الجزائر","صورة تسويقية عالية الجودة (Product Spotlight). التركيز الكامل على المقبض اللاصق وهو مُلصق على منتج بشكل جذاب. الخلفية تكون بسيطة وغير مشتتة للانتباه. النص يوضع بأناقة على جانب الصورة. شعار IPAC يكون واضحاً.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P09-WA","[P09-WA] Image - الخبرة تبني الثقة... والجودة هي اللي تصنع الفرق.","Image","الخبرة تبني الثقة... والجودة هي اللي تصنع الفرق.","**النص على التصميم (على شكل اقتباس):**
""على مدار 40 عاماً، لم نكن نبيع شريطاً لاصقاً، بل كنا نقدم حلولاً تبني الثقة وتضمن النجاح لشركائنا.""

- [اسم المؤسس أو المدير العام]
  SARL IPAC","عنوان: **وراء كل منتج عظيم... قصة من الالتزام.**

الجسم:
40 عاماً من الريادة لم تكن ممكنة لولا القيم الأساسية التي بنينا عليها شركتنا: الجودة التي لا تقبل المساومة، والالتزام بنجاح شركائنا.

الدعوة للعمل (CTA):
IPAC: شريكك الموثوق منذ 40 عاماً. اكتشف المزيد عنا اليوم.

الوسوم:
#قيم_الشركة #IPAC_Leadership #ثقة #جودة #صناعة #الجزائر","صورة احترافية وعالية الجودة للمؤسسين أو فريق الإدارة. الصورة يجب أن تعكس الثقة والخبرة. يمكن أن تكون بالأبيض والأسود لإعطاء طابع كلاسيكي وموثوق. الاقتباس يوضع بجانب الصورة بخط أنيق. شعار IPAC وعبارة ""40 عاماً"" توضع في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - بقات أيام قليلة برك! ما تفوتش الموعد!","Image","بقات أيام قليلة برك! ما تفوتش الموعد!","**النص على التصميم:**
العنوان الرئيسي: **العد التنازلي بدأ!**
النص الفرعي: أيام قليلة تفصلنا عن Agropack Expo 2026.

**الدعوة للعمل:**
جناح IPAC D38 في انتظاركم!","عنوان: **باقي أيام قليلة للمعرض! هل أنت جاهز للاكتشاف؟**

الجسم:
آخر نداء لكل الصناعيين والمهنيين! لا تفوتوا فرصة لقاء خبرائنا واكتشاف حلول الأشرطة اللاصقة التي ستغير قواعد اللعبة في أعمالكم.

الموعد يقترب!

الدعوة للعمل (CTA):
جناح IPAC رقم D38 ينتظرك في Agropack Expo من 2 إلى 5 فبراير 2026. كن في الموعد!

الوسوم:
#تذكير #AgropackExpo #IPAC #صناعة #موعد #الجزائر","تصميم بسيط ومباشر على شكل بطاقة دعوة أو تذكير (Call to Action Card). يمكن استخدام عداد تنازلي رقمي كبير في التصميم. استخدام ألوان زاهية وملفتة للانتباه. تفاصيل المعرض (اسم، جناح، مكان) تكون واضحة جداً في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
